influencer_name,Category,#Followers,#Posts,Likes,Comments,Total_Engagement,Engagement_Rate,Avg_Likes,Avg_Comments
mirandaaliciatv,fashion,43601.0,2,911.0,2.0,913.0,2.0939886699846335,455.5,1.0
3mayun,fashion,18630.0,1,423.0,3.0,426.0,2.2866344605475044,423.0,3.0
saraicetea,fashion,8814.0,1,638.0,12.0,650.0,7.374631268436578,638.0,12.0
mery_sant,fashion,11360.0,1,591.0,35.0,626.0,5.51056338028169,591.0,35.0
lizzelc,fashion,20667.0,1,446.0,6.0,452.0,2.1870614990080806,446.0,6.0
b.arroso,fashion,25456.0,1,644.0,12.0,656.0,2.576995600251414,644.0,12.0
marie.claude.l,fashion,6563.0,1,343.0,5.0,348.0,5.302453146426939,343.0,5.0
laramcwhorter,fashion,166146.0,1,6037.0,60.0,6097.0,3.669664030431067,6037.0,60.0
v.l.a.h.o,fashion,16265.0,1,1294.0,8.0,1302.0,8.004918536735321,1294.0,8.0
shaylaquinn,fashion,34878.0,1,1061.0,144.0,1205.0,3.4548999369229887,1061.0,144.0
dinarachetyrova,fashion,50966.0,1,1858.0,29.0,1887.0,3.702468312208139,1858.0,29.0
eglegraziani,fashion,11900.0,2,755.0,125.0,880.0,7.394957983193278,377.5,62.5
